District,District_Code
Thiruvananthapuram,601
Kollam,600
Pathanamthitta,599
Idukki,596
Kottayam,597
Alappuzha,598
Ernakulam,595
Thrissur,594
Palakkad,593
Malappuram,592
Kozhikode,591
Wayanad,590
Kannur,589
Kasaragod,588
