Date,State,State_Code,District,District_Code,Confirmed,Active,Recovered,Deceased,Under_Observation,Home_Isolation,Symptomatic_Hospitalized,Symptomatic_Hospitalized_Today
05-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,306,301,5,1
05-02-2020,Kerala,32,Wayanad,590,0,0,0,0,49,49,0,0
05-02-2020,Kerala,32,Kannur,589,0,0,0,0,173,171,2,0
05-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,94,90,4,1
06-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,218,211,7,3
06-02-2020,Kerala,32,Kollam,600,0,0,0,0,243,239,4,1
06-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,85,85,0,0
06-02-2020,Kerala,32,Idukki,596,0,0,0,0,37,37,0,0
06-02-2020,Kerala,32,Kottayam,597,0,0,0,0,100,99,1,0
06-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,206,199,7,1
06-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,345,342,3,1
06-02-2020,Kerala,32,Thrissur,594,1,1,0,0,268,246,22,2
06-02-2020,Kerala,32,Palakkad,593,0,0,0,0,155,151,4,1
06-02-2020,Kerala,32,Malappuram,592,0,0,0,0,396,372,24,3
06-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,358,354,4,0
06-02-2020,Kerala,32,Wayanad,590,0,0,0,0,54,54,0,0
06-02-2020,Kerala,32,Kannur,589,0,0,0,0,264,261,3,1
06-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,97,93,4,0
07-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,251,246,5,1
07-02-2020,Kerala,32,Kollam,600,0,0,0,0,266,263,3,0
07-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,85,85,0,0
07-02-2020,Kerala,32,Idukki,596,0,0,0,0,37,37,0,0
07-02-2020,Kerala,32,Kottayam,597,0,0,0,0,103,103,0,0
07-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,233,229,4,1
07-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,365,361,4,1
07-02-2020,Kerala,32,Thrissur,594,1,1,0,0,292,282,10,2
07-02-2020,Kerala,32,Palakkad,593,0,0,0,0,158,154,4,0
07-02-2020,Kerala,32,Malappuram,592,0,0,0,0,412,390,22,2
07-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,370,368,2,1
07-02-2020,Kerala,32,Wayanad,590,0,0,0,0,59,59,0,0
07-02-2020,Kerala,32,Kannur,589,0,0,0,0,285,281,4,1
07-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,98,95,3,1
08-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,270,261,9,5
08-02-2020,Kerala,32,Kollam,600,0,0,0,0,287,283,4,1
08-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,90,90,0,0
08-02-2020,Kerala,32,Idukki,596,0,0,0,0,42,42,0,0
08-02-2020,Kerala,32,Kottayam,597,0,0,0,0,105,105,0,0
08-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,248,246,2,0
08-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,377,377,0,0
08-02-2020,Kerala,32,Thrissur,594,1,1,0,0,299,292,7,0
08-02-2020,Kerala,32,Palakkad,593,0,0,0,0,161,159,2,0
08-02-2020,Kerala,32,Malappuram,592,0,0,0,0,418,403,15,2
08-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,378,377,1,0
08-02-2020,Kerala,32,Wayanad,590,0,0,0,0,70,70,0,0
08-02-2020,Kerala,32,Kannur,589,0,0,0,0,301,298,3,1
08-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,98,96,2,0
09-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,327,320,7,1
09-02-2020,Kerala,32,Kollam,600,0,0,0,0,300,300,0,0
09-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,92,92,0,0
09-02-2020,Kerala,32,Idukki,596,0,0,0,0,42,42,0,0
09-02-2020,Kerala,32,Kottayam,597,0,0,0,0,113,113,0,0
09-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,253,251,2,0
09-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,380,379,1,1
09-02-2020,Kerala,32,Thrissur,594,1,1,0,0,301,294,7,2
09-02-2020,Kerala,32,Palakkad,593,0,0,0,0,162,160,2,0
09-02-2020,Kerala,32,Malappuram,592,0,0,0,0,418,410,8,0
09-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,389,386,3,2
09-02-2020,Kerala,32,Wayanad,590,0,0,0,0,70,70,0,0
09-02-2020,Kerala,32,Kannur,589,0,0,0,0,307,305,2,0
09-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,98,96,2,0
10-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,366,362,4,1
10-02-2020,Kerala,32,Kollam,600,0,0,0,0,318,317,1,1
10-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,92,92,0,0
10-02-2020,Kerala,32,Idukki,596,0,0,0,0,42,42,0,0
10-02-2020,Kerala,32,Kottayam,597,0,0,0,0,113,113,0,0
10-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,259,257,2,1
10-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,408,407,1,0
10-02-2020,Kerala,32,Thrissur,594,1,1,0,0,304,298,6,2
10-02-2020,Kerala,32,Palakkad,593,0,0,0,0,162,161,1,1
10-02-2020,Kerala,32,Malappuram,592,0,0,0,0,421,412,9,1
10-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,396,393,3,1
10-02-2020,Kerala,32,Wayanad,590,0,0,0,0,71,71,0,0
10-02-2020,Kerala,32,Kannur,589,0,0,0,0,317,314,3,2
10-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,98,97,1,0
11-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,403,399,4,1
11-02-2020,Kerala,32,Kollam,600,0,0,0,0,326,324,2,1
11-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,93,93,0,0
11-02-2020,Kerala,32,Idukki,596,0,0,0,0,44,44,0,0
11-02-2020,Kerala,32,Kottayam,597,0,0,0,0,113,113,0,0
11-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,259,257,2,0
11-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,415,415,0,0
11-02-2020,Kerala,32,Thrissur,594,1,1,0,0,312,304,8,2
11-02-2020,Kerala,32,Palakkad,593,0,0,0,0,163,162,1,0
11-02-2020,Kerala,32,Malappuram,592,0,0,0,0,423,419,4,2
11-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,398,396,2,1
11-02-2020,Kerala,32,Wayanad,590,0,0,0,0,71,71,0,0
11-02-2020,Kerala,32,Kannur,589,0,0,0,0,321,318,3,0
11-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,106,105,1,0
12-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,339,336,3,79
